iter	Passed	Remaining
0	4	4228
1	8	4121
2	12	4038
3	15	3964
4	19	3920
5	23	3953
6	28	4003
7	32	4003
8	36	4036
9	40	4030
10	44	3999
11	48	3995
12	52	3973
13	56	3951
14	60	3942
15	63	3927
16	67	3920
17	71	3912
18	75	3901
19	79	3887
20	82	3869
21	86	3842
22	90	3843
23	94	3842
24	98	3856
25	102	3854
26	106	3851
27	110	3849
28	114	3849
29	118	3841
30	122	3833
31	126	3836
32	130	3829
33	134	3826
34	139	3836
35	143	3835
36	147	3828
37	151	3830
38	155	3821
39	158	3815
40	163	3820
41	167	3814
42	171	3809
43	175	3811
44	179	3805
45	183	3799
46	187	3792
47	191	3793
48	195	3803
49	200	3806
50	204	3803
51	208	3797
52	212	3792
53	216	3794
54	220	3788
55	224	3786
56	229	3791
57	233	3792
58	237	3790
59	242	3795
60	246	3791
61	250	3791
62	255	3797
63	259	3797
64	264	3798
65	268	3798
66	272	3796
67	276	3793
68	281	3797
69	285	3793
70	289	3787
71	294	3792
72	298	3790
73	302	3788
74	307	3794
75	312	3794
76	316	3789
77	320	3788
78	324	3782
79	328	3779
80	333	3780
81	337	3774
82	341	3774
83	346	3774
84	350	3771
85	354	3768
86	359	3767
87	363	3763
88	367	3759
89	372	3761
90	376	3758
91	380	3757
92	384	3754
93	388	3747
94	393	3744
95	397	3746
96	401	3741
97	405	3735
98	410	3732
99	414	3732
100	418	3726
101	422	3722
102	426	3715
103	430	3710
104	434	3705
105	438	3699
106	442	3692
107	446	3688
108	450	3684
109	454	3677
110	458	3672
111	462	3666
112	466	3659
113	470	3654
114	474	3648
115	477	3642
116	481	3636
117	485	3631
118	489	3627
119	494	3623
120	498	3620
121	502	3614
122	506	3608
123	510	3603
124	513	3596
125	517	3593
126	521	3586
127	525	3581
128	529	3575
129	533	3570
130	537	3565
131	541	3559
132	545	3554
133	549	3550
134	553	3545
135	557	3540
136	561	3534
137	565	3529
138	569	3525
139	572	3519
140	577	3515
141	580	3510
142	584	3504
143	588	3499
144	592	3494
145	596	3488
146	600	3483
147	604	3478
148	608	3474
149	612	3468
150	616	3465
151	620	3460
152	624	3454
153	628	3450
154	631	3445
155	635	3440
156	639	3435
157	644	3432
158	647	3427
159	651	3422
160	655	3417
161	659	3411
162	663	3406
163	667	3402
164	671	3398
165	675	3393
166	679	3388
167	683	3382
168	687	3378
169	691	3373
170	695	3370
171	699	3366
172	703	3361
173	707	3357
174	711	3352
175	715	3348
176	719	3343
177	723	3339
178	727	3334
179	730	3329
180	734	3324
181	738	3320
182	742	3315
183	746	3310
184	750	3305
185	754	3301
186	758	3297
187	762	3292
188	766	3287
189	770	3284
190	774	3280
191	778	3275
192	782	3270
193	786	3266
194	790	3262
195	794	3257
196	798	3253
197	801	3248
198	806	3244
199	809	3239
200	813	3235
201	817	3230
202	821	3226
203	825	3221
204	829	3216
205	833	3212
206	837	3208
207	841	3203
208	845	3198
209	849	3195
210	853	3190
211	856	3184
212	860	3180
213	864	3176
214	868	3171
215	872	3166
216	876	3161
217	880	3157
218	884	3154
219	888	3148
220	892	3144
221	896	3140
222	899	3135
223	903	3131
224	907	3126
225	911	3122
226	915	3117
227	919	3112
228	923	3109
229	927	3104
230	931	3100
231	935	3095
232	939	3091
233	943	3087
234	946	3082
235	950	3077
236	954	3073
237	958	3068
238	962	3063
239	966	3059
240	970	3054
241	974	3050
242	977	3045
243	981	3042
244	985	3037
245	989	3034
246	993	3029
247	997	3025
248	1001	3021
249	1005	3016
250	1009	3012
251	1013	3008
252	1017	3003
253	1021	3000
254	1025	2995
255	1029	2990
256	1033	2987
257	1037	2982
258	1041	2978
